date,equity_gross,equity_net_costs,equity_net_tax,invested_fraction,positions,equity_cash_credited
2016-01-01,500000.0,500000.0,500000.0,0.0,0,500000.0
2016-01-04,500000.0,500000.0,500000.0,0.0,0,500124.9656121388
2016-01-05,500000.0,500000.0,500000.0,0.0,0,500249.9624570861
2016-01-06,500000.0,500000.0,500000.0,0.0,0,500374.9905426478
2016-01-07,500000.0,500000.0,500000.0,0.0,0,500500.049876632
2016-01-08,500000.0,500000.0,500000.0,0.0,0,500625.1404668487
2016-01-11,500000.0,500000.0,500000.0,0.0,0,500750.26232110977
2016-01-12,500000.0,500000.0,500000.0,0.0,0,500875.415447229
2016-01-13,500000.0,500000.0,500000.0,0.0,0,501000.5998530224
2016-01-14,500000.0,500000.0,500000.0,0.0,0,501125.8155463074
2016-01-15,500000.0,500000.0,500000.0,0.0,0,501251.06253490405
2016-01-18,500000.0,500000.0,500000.0,0.0,0,501376.34082663385
2016-01-19,500000.0,500000.0,500000.0,0.0,0,501501.65042932046
2016-01-20,500000.0,500000.0,500000.0,0.0,0,501626.9913507896
2016-01-21,500000.0,500000.0,500000.0,0.0,0,501752.36359886854
2016-01-22,500000.0,500000.0,500000.0,0.0,0,501877.767181387
2016-01-25,500000.0,500000.0,500000.0,0.0,0,502003.20210617635
2016-01-27,500000.0,500000.0,500000.0,0.0,0,502128.6683810701
2016-01-28,500000.0,500000.0,500000.0,0.0,0,502254.1660139035
2016-01-29,500000.0,500000.0,500000.0,0.0,0,502379.6950125139
2016-02-01,500000.0,500000.0,500000.0,0.0,0,502505.25538474054
2016-02-02,500000.0,500000.0,500000.0,0.0,0,502630.84713842475
2016-02-03,500000.0,500000.0,500000.0,0.0,0,502756.4702814098
2016-02-04,500000.0,500000.0,500000.0,0.0,0,502882.1248215407
2016-02-05,500000.0,500000.0,500000.0,0.0,0,503007.8107666647
2016-02-08,500000.0,500000.0,500000.0,0.0,0,503133.52812463074
2016-02-09,500000.0,500000.0,500000.0,0.0,0,503259.27690329007
2016-02-10,500000.0,500000.0,500000.0,0.0,0,503385.05711049563
2016-02-11,500000.0,500000.0,500000.0,0.0,0,503510.8687541023
2016-02-12,500000.0,500000.0,500000.0,0.0,0,503636.71184196713
2016-02-15,500000.0,500000.0,500000.0,0.0,0,503762.5863819489
2016-02-16,500000.0,500000.0,500000.0,0.0,0,503888.4923819086
2016-02-17,500000.0,500000.0,500000.0,0.0,0,504014.42984970903
2016-02-18,500000.0,500000.0,500000.0,0.0,0,504140.39879321493
2016-02-19,500000.0,500000.0,500000.0,0.0,0,504266.39922029315
2016-02-22,500000.0,500000.0,500000.0,0.0,0,504392.4311388124
2016-02-23,500000.0,500000.0,500000.0,0.0,0,504518.4945566433
2016-02-24,500000.0,500000.0,500000.0,0.0,0,504644.5894816586
2016-02-25,500000.0,500000.0,500000.0,0.0,0,504770.71592173283
2016-02-26,500000.0,500000.0,500000.0,0.0,0,504896.8738847427
2016-02-29,500000.0,500000.0,500000.0,0.0,0,505023.06337856664
2016-03-01,500000.0,500000.0,500000.0,0.0,0,505149.2844110853
2016-03-02,500000.0,500000.0,500000.0,0.0,0,505275.53699018114
2016-03-03,500000.0,500000.0,500000.0,0.0,0,505401.82112373866
2016-03-04,500000.0,500000.0,500000.0,0.0,0,505528.13681964425
2016-03-08,500000.0,500000.0,500000.0,0.0,0,505654.4840857864
2016-03-09,500000.0,500000.0,500000.0,0.0,0,505780.8629300554
2016-03-10,500000.0,500000.0,500000.0,0.0,0,505907.2733603437
2016-03-11,500000.0,500000.0,500000.0,0.0,0,506033.71538454556
2016-03-14,500000.0,500000.0,500000.0,0.0,0,506160.18901055737
2016-03-15,500000.0,500000.0,500000.0,0.0,0,506286.6942462774
2016-03-16,500000.0,500000.0,500000.0,0.0,0,506413.2310996058
2016-03-17,500000.0,500000.0,500000.0,0.0,0,506539.79957844486
2016-03-18,500000.0,500000.0,500000.0,0.0,0,506666.39969069883
2016-03-21,500000.0,500000.0,500000.0,0.0,0,506793.0314442739
2016-03-22,500000.0,500000.0,500000.0,0.0,0,506919.6948470781
2016-03-23,500000.0,500000.0,500000.0,0.0,0,507046.38990702166
2016-03-28,500000.0,500000.0,500000.0,0.0,0,507173.1166320167
2016-03-29,500000.0,500000.0,500000.0,0.0,0,507299.8750299772
2016-03-30,500000.0,500000.0,500000.0,0.0,0,507426.66510881926
2016-03-31,500000.0,500000.0,500000.0,0.0,0,507553.4868764611
2016-04-01,500000.0,500000.0,500000.0,0.0,0,507680.3403408224
2016-04-04,500000.0,500000.0,500000.0,0.0,0,507807.2255098255
2016-04-05,500000.0,500000.0,500000.0,0.0,0,507934.14239139424
2016-04-06,500000.0,500000.0,500000.0,0.0,0,508061.0909934545
2016-04-07,500000.0,500000.0,500000.0,0.0,0,508188.0713239344
2016-04-08,500000.0,500000.0,500000.0,0.0,0,508315.0833907637
2016-04-11,500000.0,500000.0,500000.0,0.0,0,508442.12720187433
2016-04-12,500000.0,500000.0,500000.0,0.0,0,508569.2027652002
2016-04-13,500000.0,500000.0,500000.0,0.0,0,508696.3100886772
2016-04-18,500000.0,500000.0,500000.0,0.0,0,508823.44918024325
2016-04-20,500000.0,500000.0,500000.0,0.0,0,508950.6200478381
2016-04-21,500000.0,500000.0,500000.0,0.0,0,509077.8226994035
2016-04-22,500000.0,500000.0,500000.0,0.0,0,509205.0571428833
2016-04-25,500000.0,500000.0,500000.0,0.0,0,509332.32338622335
2016-04-26,500000.0,500000.0,500000.0,0.0,0,509459.6214373714
2016-04-27,500000.0,500000.0,500000.0,0.0,0,509586.95130427735
2016-04-28,500000.0,500000.0,500000.0,0.0,0,509714.31299489265
2016-04-29,500000.0,500000.0,500000.0,0.0,0,509841.7065171713
2016-05-02,500000.0,500000.0,500000.0,0.0,0,509969.1318790689
2016-05-03,500000.0,500000.0,500000.0,0.0,0,510096.58908854326
2016-05-04,500000.0,500000.0,500000.0,0.0,0,510224.078153554
2016-05-05,500000.0,500000.0,500000.0,0.0,0,510351.59908206284
2016-05-06,500000.0,500000.0,500000.0,0.0,0,510479.1518820335
2016-05-09,500000.0,500000.0,500000.0,0.0,0,510606.7365614316
2016-05-10,500000.0,500000.0,500000.0,0.0,0,510734.3531282248
2016-05-11,500000.0,500000.0,500000.0,0.0,0,510862.0015903828
2016-05-12,500000.0,500000.0,500000.0,0.0,0,510989.6819558771
2016-05-13,500000.0,500000.0,500000.0,0.0,0,511117.39423268166
2016-05-16,500000.0,500000.0,500000.0,0.0,0,511245.1384287718
2016-05-17,500000.0,500000.0,500000.0,0.0,0,511372.9145521253
2016-05-18,500000.0,500000.0,500000.0,0.0,0,511500.7226107218
2016-05-19,500000.0,500000.0,500000.0,0.0,0,511628.56261254277
2016-05-20,500000.0,500000.0,500000.0,0.0,0,511756.43456557195
2016-05-23,500000.0,500000.0,500000.0,0.0,0,511884.3384777949
2016-05-24,500000.0,500000.0,500000.0,0.0,0,512012.2743571992
2016-05-25,500000.0,500000.0,500000.0,0.0,0,512140.24221177446
2016-05-26,500000.0,500000.0,500000.0,0.0,0,512268.2420495123
2016-05-27,500000.0,500000.0,500000.0,0.0,0,512396.27387840627
2016-05-30,500000.0,500000.0,500000.0,0.0,0,512524.337706452
2016-05-31,500000.0,500000.0,500000.0,0.0,0,512652.43354164704
2016-06-01,500000.0,500000.0,500000.0,0.0,0,512780.56139199104
2016-06-02,500000.0,500000.0,500000.0,0.0,0,512908.72126548545
2016-06-03,500000.0,500000.0,500000.0,0.0,0,513036.913170134
2016-06-06,500000.0,500000.0,500000.0,0.0,0,513165.1371139422
2016-06-07,500000.0,500000.0,500000.0,0.0,0,513293.3931049176
2016-06-08,500000.0,500000.0,500000.0,0.0,0,513421.6811510699
2016-06-09,500000.0,500000.0,500000.0,0.0,0,513550.0012604106
2016-06-10,500000.0,500000.0,500000.0,0.0,0,513678.35344095336
2016-06-13,500000.0,500000.0,500000.0,0.0,0,513806.73770071374
2016-06-14,500000.0,500000.0,500000.0,0.0,0,513935.1540477094
2016-06-15,500000.0,500000.0,500000.0,0.0,0,514063.60248995986
2016-06-16,500000.0,500000.0,500000.0,0.0,0,514192.0830354867
2016-06-17,500000.0,500000.0,500000.0,0.0,0,514320.59569231357
2016-06-20,500000.0,500000.0,500000.0,0.0,0,514449.14046846615
2016-06-21,500000.0,500000.0,500000.0,0.0,0,514577.717371972
2016-06-22,500000.0,500000.0,500000.0,0.0,0,514706.32641086075
2016-06-23,500000.0,500000.0,500000.0,0.0,0,514834.96759316407
2016-06-24,500000.0,500000.0,500000.0,0.0,0,514963.6409269156
2016-06-27,500000.0,500000.0,500000.0,0.0,0,515092.3464201509
2016-06-28,500000.0,500000.0,500000.0,0.0,0,515221.08408090775
2016-06-29,500000.0,500000.0,500000.0,0.0,0,515349.8539172258
2016-06-30,500000.0,500000.0,500000.0,0.0,0,515478.65593714657
2016-07-01,500000.0,500000.0,500000.0,0.0,0,515607.490148714
2016-07-04,500000.0,500000.0,500000.0,0.0,0,515736.3565599735
2016-07-05,500000.0,500000.0,500000.0,0.0,0,515865.2551789731
2016-07-07,500000.0,500000.0,500000.0,0.0,0,515994.18601376226
2016-07-08,500000.0,500000.0,500000.0,0.0,0,516123.1490723928
2016-07-11,500000.0,500000.0,500000.0,0.0,0,516252.14436291845
2016-07-12,500000.0,500000.0,500000.0,0.0,0,516381.1718933951
2016-07-13,500000.0,500000.0,500000.0,0.0,0,516510.23167188023
2016-07-14,500000.0,500000.0,500000.0,0.0,0,516639.32370643393
2016-07-15,500000.0,500000.0,500000.0,0.0,0,516768.4480051179
2016-07-18,500000.0,500000.0,500000.0,0.0,0,516897.6045759959
2016-07-19,500000.0,500000.0,500000.0,0.0,0,517026.79342713376
2016-07-20,500000.0,500000.0,500000.0,0.0,0,517156.01456659933
2016-07-21,500000.0,500000.0,500000.0,0.0,0,517285.26800246246
2016-07-22,500000.0,500000.0,500000.0,0.0,0,517414.5537427951
2016-07-25,500000.0,500000.0,500000.0,0.0,0,517543.87179567106
2016-07-26,500000.0,500000.0,500000.0,0.0,0,517673.2221691663
2016-07-27,500000.0,500000.0,500000.0,0.0,0,517802.6048713589
2016-07-28,500000.0,500000.0,500000.0,0.0,0,517932.01991032856
2016-07-29,500000.0,500000.0,500000.0,0.0,0,518061.46729415737
2016-08-01,500000.0,500000.0,500000.0,0.0,0,518190.94703092927
2016-08-02,500000.0,500000.0,500000.0,0.0,0,518320.45912873023
2016-08-03,500000.0,500000.0,500000.0,0.0,0,518450.0035956484
2016-08-04,500000.0,500000.0,500000.0,0.0,0,518579.5804397738
2016-08-05,500000.0,500000.0,500000.0,0.0,0,518709.18966919853
2016-08-08,500000.0,500000.0,500000.0,0.0,0,518838.8312920166
