regime,universe,has_data,price>=50,above_200dma,score>0,liquid,eligible,held_before,selected,entries,exits,trades
CASH,42,0,0,0,0,0,0,0,0,0,0,0
CASH,42,0,0,0,0,0,0,0,0,0,0,0
CASH,42,0,0,0,0,0,0,0,0,0,0,0
CASH,43,0,0,0,0,0,0,0,0,0,0,0
CASH,43,0,0,0,0,0,0,0,0,0,0,0
CASH,43,0,0,0,0,0,0,0,0,0,0,0
CASH,43,0,0,0,0,0,0,0,0,0,0,0
CASH,43,0,0,0,0,0,0,0,0,0,0,0
CASH,43,0,0,0,0,0,0,0,0,0,0,0
RISK-ON,43,0,0,0,0,0,0,0,0,0,0,0
RISK-ON,43,0,0,0,0,0,0,0,0,0,0,0
CASH,43,0,0,0,0,0,0,0,0,0,0,0
RISK-ON,43,43,42,29,27,27,24,0,10,10,0,10
RISK-ON,43,43,42,32,32,32,28,10,10,2,2,4
RISK-ON,43,43,42,33,31,31,28,10,10,0,0,0
RISK-ON,43,43,42,33,30,30,27,10,10,0,0,0
RISK-ON,43,43,42,33,30,30,27,10,10,2,2,4
RISK-ON,43,43,43,31,27,27,24,10,10,1,1,2
RISK-ON,43,43,43,36,28,28,25,10,10,1,1,2
RISK-ON,43,43,43,36,32,32,28,10,10,2,2,4
RISK-ON,45,45,45,35,32,32,28,10,10,2,2,4
RISK-ON,45,45,45,39,34,34,30,10,10,0,0,0
RISK-ON,45,45,45,38,36,36,32,10,10,0,0,0
RISK-ON,45,45,45,38,35,35,31,10,10,0,0,0
RISK-ON,45,45,45,38,35,35,31,10,10,3,3,6
RISK-ON,45,45,45,28,27,27,24,10,10,3,3,6
CASH,45,45,45,21,21,21,0,10,0,0,10,10
RISK-ON,46,46,46,30,25,25,22,0,10,10,0,10
RISK-ON,46,46,46,23,22,22,19,10,10,2,2,4
RISK-ON,46,46,46,21,18,18,16,10,10,0,0,0
RISK-ON,46,46,46,28,21,21,19,10,10,0,0,0
RISK-ON,46,46,46,34,30,30,27,10,10,0,0,0
RISK-ON,48,48,48,24,24,24,21,10,10,5,5,10
CASH,48,48,48,18,17,17,0,10,0,0,10,10
RISK-ON,48,48,48,21,19,19,17,0,10,10,0,10
RISK-ON,48,48,48,24,19,19,17,10,10,2,2,4
CASH,48,48,47,18,16,16,0,10,0,0,10,10
